,0
95,https://www.tripadvisor.com/Restaurant_Review-g189473-d7940291-Reviews-ARC_Espresso_Wine_Bar-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
96,https://www.tripadvisor.com/Restaurant_Review-g189473-d11750334-Reviews-Marea_Sea_Spirit-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
97,https://www.tripadvisor.com/Restaurant_Review-g189473-d1063783-Reviews-TGI_Fridays-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
98,https://www.tripadvisor.com/Restaurant_Review-g189473-d4547748-Reviews-Omikron-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
99,https://www.tripadvisor.com/Restaurant_Review-g189473-d6104406-Reviews-Taverna_Kronos-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
100,https://www.tripadvisor.com/Restaurant_Review-g189473-d3432464-Reviews-Daios_Food_Bar_Restaurant-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
101,https://www.tripadvisor.com/Restaurant_Review-g189473-d15199753-Reviews-Mezen-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
102,https://www.tripadvisor.com/Restaurant_Review-g189473-d6937539-Reviews-Ladokolla_Astropheggia-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
103,https://www.tripadvisor.com/Restaurant_Review-g189473-d6677877-Reviews-Spoon_Thessaloniki-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
104,https://www.tripadvisor.com/Restaurant_Review-g189473-d2188999-Reviews-Tiganies_Sxares-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
105,https://www.tripadvisor.com/Restaurant_Review-g189473-d2022383-Reviews-Negroponte-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
106,https://www.tripadvisor.com/Restaurant_Review-g189473-d4611224-Reviews-Diavasi-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
107,https://www.tripadvisor.com/Restaurant_Review-g189473-d18980933-Reviews-Mangiare_Gastro_Bar-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
108,https://www.tripadvisor.com/Restaurant_Review-g189473-d6977211-Reviews-Mpakal-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
109,https://www.tripadvisor.com/Restaurant_Review-g189473-d7349112-Reviews-High_School_Pizza_Bar-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
110,https://www.tripadvisor.com/Restaurant_Review-g189473-d13864066-Reviews-The_Backroom-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
111,https://www.tripadvisor.com/Restaurant_Review-g189473-d7349410-Reviews-Thermaikos_Garden-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
112,https://www.tripadvisor.com/Restaurant_Review-g189473-d19852221-Reviews-Deka_Trapezia-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
113,https://www.tripadvisor.com/Restaurant_Review-g189473-d806148-Reviews-Panellinion-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
114,https://www.tripadvisor.com/Restaurant_Review-g189473-d11643958-Reviews-Brusco_Meze_Bar-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
115,https://www.tripadvisor.com/Restaurant_Review-g189473-d23450258-Reviews-Brunchsin-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
116,https://www.tripadvisor.com/Restaurant_Review-g189473-d12645322-Reviews-The_Garden_Bar-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
117,https://www.tripadvisor.com/Restaurant_Review-g189473-d4942097-Reviews-The_Pub-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
118,https://www.tripadvisor.com/Restaurant_Review-g189473-d7826449-Reviews-Inohous-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
119,https://www.tripadvisor.com/Restaurant_Review-g189473-d4005099-Reviews-Villa_Luna-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
120,https://www.tripadvisor.com/Restaurant_Review-g189473-d3577032-Reviews-Clochard-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
121,https://www.tripadvisor.com/Restaurant_Review-g189473-d805908-Reviews-Habanera-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
122,https://www.tripadvisor.com/Restaurant_Review-g189473-d4087090-Reviews-To_Nisi-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
123,https://www.tripadvisor.com/Restaurant_Review-g189473-d8693843-Reviews-Mpougatsa_To_neon-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
124,https://www.tripadvisor.com/Restaurant_Review-g189473-d8440939-Reviews-Ergon_Agora-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
125,https://www.tripadvisor.com/Restaurant_Review-g189473-d7931928-Reviews-Elia_Lemoni-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
126,https://www.tripadvisor.com/Restaurant_Review-g189473-d18980933-Reviews-Mangiare_Gastro_Bar-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
127,https://www.tripadvisor.com/Restaurant_Review-g189473-d6778213-Reviews-Bachtses-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
128,https://www.tripadvisor.com/Restaurant_Review-g189473-d1078636-Reviews-Apirotan-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
129,https://www.tripadvisor.com/Restaurant_Review-g189473-d4771907-Reviews-Savvikos-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
130,https://www.tripadvisor.com/Restaurant_Review-g189473-d10229842-Reviews-Salumeria_del_Greco-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
131,https://www.tripadvisor.com/Restaurant_Review-g189473-d7786300-Reviews-Kati_Apo_Ola-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
132,https://www.tripadvisor.com/Restaurant_Review-g189473-d11750334-Reviews-Marea_Sea_Spirit-Thessaloniki_Thessaloniki_Region_Central_Macedonia.html
133,https://www.tripadvisor.com/Restaurant_Review-g189473-d22839842-Reviews-Salento_Wood_Fired_Street_Food-Thessaloniki_Thessaloniki_Region_Central_Macedoni.html
